Protein,3FE_09,4FE_10,8FE_11,34FM_13,35FM_14,38FM_15,51FL_17,69FL_18,70FL_19,2ME_23,7ME_24,9ME_25,41MM_27,42MM_28,46MM_29,65ML_31,67ML_32,68ML_33,34FM_37,35FM_38,38FM_39,51FL_41,69FL_42,70FL_43,3FE_45,4FE_46,8FE_47,41MM_51,42MM_52,46MM_53,65ML_55,67ML_56,68ML_57,2ME_59,7ME_60,9ME_61,70FL_65,51FL_61,69FL_67,38FM_69,35FM_70,34FM_71,8FE_73,3FE_74,4FE_75,68ML_79,67ML_80,65ML_81,46MM_81,42MM_84,41MM_85,9ME_87,7ME_88,2ME_89
ruditapes_c16007_2,0,3,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,2,2,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ruditapes2_c1617_3,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1
ruditapes2_c1984_5,1,1,1,1,2,2,0,2,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ruditapes_c11046_6,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ruditapes_c19546_2,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0
ruditapes2_c2143_2,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1
ruditapes_s38196_5,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
ruditapes_c17798_5,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ruditapes_c4575_6,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
ruditapes_c25902_5,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ruditapes_s36566_5,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
ruditapes_c9757_6,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ruditapes_c15409_3,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,2,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1
ruditapes_c8297_1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1
ruditapes_c9012_3,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0
ruditapes2_c3117_2,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,2,2,1,1
ruditapes2_c3436_2,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
ruditapes_c18565_3,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruditapes_c10469_3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ruditapes_c15690_3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ruditapes2_c1460_3,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0
ruditapes_c14004_2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
ruditapes_c10585_2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruditapes_c10650_2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruditapes_c16869_3,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,0,1,1
ruditapes_c28622_6,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
ruditapes_c29642_5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1
ruditapes_c8664_1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
ruditapes_c8894_2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruditapes2_lrc3339_1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruditapes_c28631_1,3,4,0,1,1,1,1,1,1,2,1,1,0,1,1,0,1,1,2,2,0,1,1,1,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,2,1,1,1,1,0,1,2,1
ruditapes_c19432_2,1,1,0,1,1,0,1,1,1,2,1,2,3,2,3,3,2,1,1,1,1,1,1,1,0,1,0,3,2,2,2,2,3,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,2,3,1,1,1
ruditapes2_c4815_1,1,0,0,0,0,0,1,1,1,2,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,2,1,1,0,2,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,2,1,2,1
ruditapes2_c344_2,2,0,2,2,1,2,0,2,1,2,1,1,2,2,0,0,2,1,1,1,1,0,2,0,1,0,1,1,3,0,0,1,1,3,0,1,0,1,1,1,1,0,2,1,1,1,1,1,0,3,2,1,1,2
ruditapes_c7557_1,2,2,1,1,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,0,0,0,2,2,0,0,0,1,2,2,1,2,0,1,1,1,1,0,2,1,0,2,0,0,0,1,1,1,1,1,1,0,1,1
ruditapes2_c3469_2,0,2,0,1,2,2,1,2,2,2,1,1,3,2,2,3,3,0,3,1,1,3,1,1,0,0,1,1,1,3,2,2,1,1,1,1,2,2,1,3,1,1,0,0,0,2,3,3,3,1,3,0,2,1
ruditapes2_c474_1,1,1,0,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,0,2,2,1,0,0,0,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,0,0,0,2,1,1,1,2,2,1,1,1
ruditapes2_c147_4,1,0,0,1,1,2,1,0,2,2,1,1,1,0,2,1,1,1,1,1,0,1,2,1,0,0,0,1,0,2,2,1,1,1,1,1,2,0,0,2,0,1,0,0,0,1,0,0,2,1,1,0,1,1
ruditapes2_c2642_3,2,1,0,3,2,3,3,3,3,2,1,2,1,1,2,1,2,1,3,2,0,2,2,2,0,0,0,2,1,2,1,1,0,0,1,1,2,2,2,3,2,2,0,0,0,1,1,1,1,1,1,1,1,2
ruditapes2_lrc3632_3,2,0,0,4,3,0,3,3,3,2,1,2,3,1,1,2,2,3,4,2,0,4,1,2,0,0,0,4,1,2,4,3,2,1,1,2,3,4,2,1,2,3,0,0,0,1,2,2,1,1,3,2,2,1
ruditapes_c8251_3,1,1,0,4,1,2,4,4,4,2,1,2,4,1,3,3,1,3,2,1,0,2,3,4,0,0,0,2,1,3,1,2,3,1,1,1,4,4,2,2,1,2,0,0,0,2,1,1,2,1,2,2,1,2
ruditapes_c2013_2,0,3,0,1,1,1,1,1,1,3,1,0,5,4,6,5,5,5,1,0,2,1,1,0,0,1,0,5,4,6,5,6,6,2,2,1,1,0,0,3,2,2,0,0,0,5,5,5,5,5,3,1,1,2
ruditapes2_c2161_6,2,1,2,3,2,1,4,3,3,3,1,2,2,3,3,4,3,4,3,2,2,2,3,4,1,1,1,3,5,3,4,4,5,4,1,4,3,3,3,1,2,1,1,1,1,4,3,3,4,4,3,2,0,4
ruditapes_c16925_1,0,0,0,0,0,0,0,0,0,3,1,0,5,9,8,8,10,11,0,0,0,0,0,0,0,0,0,6,8,7,10,8,12,4,1,0,0,0,0,1,0,0,0,0,0,12,10,10,9,9,6,1,2,3
ruditapes_c20332_2,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
ruditapes_c18039_2,1,1,0,0,1,2,1,1,1,4,1,2,0,3,4,3,3,2,1,1,0,1,2,1,0,0,0,1,4,2,0,3,1,2,2,1,2,1,2,2,1,1,0,0,0,2,2,2,2,5,1,3,2,1
ruditapes_c14508_1,1,1,0,1,1,1,0,1,1,5,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,2,1,0,1,1,4,1,2,1,0,1,3,1,1,0,0,0,1,1,1,1,2,1,2,1,3
ruditapes2_c5386_1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,2,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0
ruditapes_c124_3,0,1,0,1,2,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,2,1,1,0,0,0,1,1,1,1,1,0,1,1,1
